,x,y,dyd,dyu
0,2007,0.025185480617925086,-0.07398738644556699,0.12568358144762537
1,2008,0.07781472654705741,0.06680255324602793,0.08855836108539875
2,2009,0.10317783533919715,0.09751933467079446,0.10900788497598186
3,2010,0.0677980235415741,0.06430446576540576,0.07136421205586367
4,2011,0.09391691740081193,0.09053984748180272,0.09707682964581689
5,2012,0.08192170367420641,0.08046766178872274,0.0834410360531039
6,2013,0.08536192624638644,0.0842492776000208,0.08638871173258214
7,2014,0.08659973364557173,0.08540389911767907,0.08781202967008742
8,2015,0.09146253758142225,0.08974126021506634,0.09303726871649891
9,2016,0.08886459823117435,0.08722106992732322,0.09059274321749725
10,2017,0.07206354300437999,0.07085821648821393,0.0732020758164888
11,2018,0.06391016221372688,0.06331121566967825,0.06458617809655039
12,2019,0.051634047741620386,0.050785255973196546,0.05249066827602039
